Chemical,Conc,Replicate,Ecotype,Root_calc,Shoot_calc
A,20ppm,1,CE,0.279971989,1.333893557
A,20ppm,1,CO,0.673358586,-0.445833333
A,20ppm,1,SW,-1.114232804,-0.26
A,20ppm,1,WE,0.795908748,0.016164949
A,20ppm,2,CE,-0.438297242,0.796393557
A,20ppm,2,CO,0.956691919,1.083114035
A,20ppm,2,SW,0.157195767,0.368571429
A,20ppm,2,WE,0.67814559,-0.15653242
A,20ppm,3,CE,-1.015220319,0.065624327
A,20ppm,3,CO,0.326257137,-0.64365942
A,20ppm,3,SW,-1.364882155,-0.532727273
A,20ppm,3,WE,0.030467572,0.098885537
A,40ppm,1,CE,-0.212101787,-0.988714064
A,40ppm,1,CO,0.78287037,-0.215740741
A,40ppm,1,SW,0.792261905,0.765277778
A,40ppm,1,WE,0.373263305,0.3332493
A,40ppm,2,CE,-0.013400488,-0.323778999
A,40ppm,2,CO,0.737218196,0.047483897
A,40ppm,2,SW,1.325595238,2.0875
A,40ppm,2,WE,0.012109459,0.515556992
A,40ppm,3,CE,-0.43482906,-0.738064713
A,40ppm,3,CO,0.237218196,-0.461211755
A,40ppm,3,SW,0.992261905,1.804166667
A,40ppm,3,WE,-0.664813618,0.030941607
A,80ppm,1,CE,1.805833333,1.251666667
A,80ppm,1,CO,2.584133833,2.127433881
A,80ppm,1,SW,2.168148148,1.546759259
A,80ppm,1,WE,1.600928793,0.65504128
A,80ppm,2,CE,0.505833333,-0.258333333
A,80ppm,2,CO,0.509232647,0.023481312
A,80ppm,2,SW,0.903703704,-0.058796296
A,80ppm,2,WE,0.249797571,0.569520918
A,80ppm,3,CE,0.36297619,-0.048333333
A,80ppm,3,CO,0.28314569,0.240872616
A,80ppm,3,SW,1.114814815,0.030092593
A,80ppm,3,WE,-0.831578947,-1.286754386
AB,20ppm,1,CE,-0.377083333,0.21155303
AB,20ppm,1,CO,0.289936508,1.280571429
AB,20ppm,1,SW,1.516031746,1.609206349
AB,20ppm,1,WE,-0.467016273,-0.563117032
AB,20ppm,2,CE,0.543371212,-0.221022727
AB,20ppm,2,CO,0.290568087,1.005413534
AB,20ppm,2,SW,0.299365079,0.642539683
AB,20ppm,2,WE,1.032983727,0.802597254
AB,20ppm,3,CE,0.567147436,-0.168575175
AB,20ppm,3,CO,0.725936508,0.220571429
AB,20ppm,3,SW,0.077142857,-1.824126984
AB,20ppm,3,WE,0.242074637,-0.400130019
AB,40ppm,1,CE,0.050854822,1.257807893
AB,40ppm,1,CO,-0.168888889,-0.453050725
AB,40ppm,1,SW,-0.965972222,-1.398875661
AB,40ppm,1,WE,0.419128788,-0.866098485
AB,40ppm,2,CE,-0.137491043,0.909311652
AB,40ppm,2,CO,0.428968254,0.367520704
AB,40ppm,2,SW,-0.373115079,-0.191732804
AB,40ppm,2,WE,-0.054103535,-0.215593434
AB,40ppm,3,CE,-0.634859464,0.901855512
AB,40ppm,3,CO,-0.297979798,-1.070141634
AB,40ppm,3,SW,-0.601686508,0.101124339
AB,40ppm,3,WE,-0.203598485,-0.052462121
AB,80ppm,1,CE,0.475634921,1.13985348
AB,80ppm,1,CO,-0.034878864,-0.051566416
AB,80ppm,1,SW,0.902777778,0.059217172
AB,80ppm,1,WE,1.058008658,1.311659452
AB,80ppm,2,CE,0.732777778,-0.653717949
AB,80ppm,2,CO,0.314320221,-0.511749482
AB,80ppm,2,SW,1.069444444,2.714772727
AB,80ppm,2,WE,0.371645022,-1.134704185
AB,80ppm,3,CE,1.078931624,-0.627179487
AB,80ppm,3,CO,1.766765873,0.427380952
AB,80ppm,3,SW,0.769444444,-0.829671717
AB,80ppm,3,WE,1.722294372,0.601659452
ABC,20ppm,1,CE,-0.04514652,-0.023107448
ABC,20ppm,1,CO,1.283333333,0.59
ABC,20ppm,1,SW,1.057777778,1.156666667
ABC,20ppm,1,WE,-0.35754902,-0.028104575
ABC,20ppm,2,CE,-0.679761905,0.036507937
ABC,20ppm,2,CO,2.34,1.543333333
ABC,20ppm,2,SW,1.357777778,1.706666667
ABC,20ppm,2,WE,0.118921569,0.366013072
ABC,20ppm,3,CE,-0.537454212,-0.546184371
ABC,20ppm,3,CO,0.738333333,0.095
ABC,20ppm,3,SW,0.607777778,0.606666667
ABC,20ppm,3,WE,-0.75754902,-0.628104575
ABC,40ppm,1,CE,-0.439962406,-0.295462093
ABC,40ppm,1,CO,0.128910819,-0.003289474
ABC,40ppm,1,SW,-0.126984127,-0.106005291
ABC,40ppm,1,WE,1.30981241,0.231096681
ABC,40ppm,2,CE,0.608157895,0.637620614
ABC,40ppm,2,CO,0.107638889,-0.4
ABC,40ppm,2,SW,-0.211111111,-0.48537037
ABC,40ppm,2,WE,0.678066378,0.038239538
ABC,40ppm,3,CE,0.119561404,0.01691886
ABC,40ppm,3,CO,1.510615079,-1.068452381
